Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat,Foto
Rujak Cingur,Salty,Food,"Rujak Cingur Warung Lani, Klojen Kota Malang",25000,https://maps.app.goo.gl/h9jdYedU7x7hAAJi7,"Jl. Husni Tamrin 7A/332, Klojen Kota Malang",https://www.nomadfoods.com/wp-content/uploads/2018/08/placeholder-1-e1533569576673.png
Gethuk Pisang,Sweet,Food,Gethuk Pisang Sahira,30000,https://maps.app.goo.gl/3znou7bfzzqCA8gV8,"Perum. Puri Indah Blok H2 No. 6A, Oro Oro Ombo, Batu",https://www.nomadfoods.com/wp-content/uploads/2018/08/placeholder-1-e1533569576673.png
Nasi Pecel Rawon,Salty,Food,Sate Soto Gule Krengsengan Tenes Pak Gendut,18000,https://maps.app.goo.gl/rgAf7odVP9qrdYo3A,"Jl. Zaenal Zakse 3 No.69, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65136",https://www.nomadfoods.com/wp-content/uploads/2018/08/placeholder-1-e1533569576673.png
Rujak Soto,Salty,Food,"Warung Rujak Soto Bu Agus Khas Banyuwangi, Bendulan 8D",17000,https://maps.app.goo.gl/4XEqZHqpEQ5GWg9e6,"Jl. Bendulan 8D, Sukun, Malang",https://www.nomadfoods.com/wp-content/uploads/2018/08/placeholder-1-e1533569576673.png
Tiwul Goreng,Salty,Food,Nasi Goreng Tiwul Leluhur Nusantara,13000,https://maps.app.goo.gl/taFTjcRsTekB1ZMr7,"Perumahan Green Karangduren Residence Gang 10 Blok BP 02, Pakisaji, Malang",https://www.nomadfoods.com/wp-content/uploads/2018/08/placeholder-1-e1533569576673.png
Sayur Asem Malang,Salty,Food,Ayam Penyet Ria,39000,https://maps.app.goo.gl/DTvSf4A27BywLGfk9,"Jl. HOS Cokroaminoto 22-A, Klojen, Malang",https://i.imgur.com/EhbeJ24.jpeg
Lemper Malang,Salty,Food,Toko Kue Bu Yanti,13000,https://maps.app.goo.gl/NHoZvo86s2KFtj2P9,"Pasar Singosari Blok D No. 2, Jl. Singosari Raya, Candirenggo",https://i.imgur.com/owFn29P.jpeg
Pisang Plenet,Sweet,Food,Restoran Pisang Planet,15000,https://maps.app.goo.gl/f99KQ9MvGQVFC92X8,"Perumahan Graha Mulia, Jl. Graha Mulia Raya, Lowokwaru, Malang",https://i.imgur.com/at6eKJS.png
Bubur Ayam Malang,Salty,Food,Bubur Ayam Abah Odil,25000,https://maps.app.goo.gl/urg5H1QnxgncTDTUA,"Ruko Griya Shanta Eksekutif, Jl. Soekarno Hatta Blok MP No. 48-49, Jatimulyo, Kec. Lowokwaru, Kota Malang",https://i.imgur.com/yct5DXU.jpeg
Ketan Kratok,Sweet,Food,Ketan Karito,7000,https://maps.app.goo.gl/U9anK66425NYnofk7,"Jl. Bantaran III B No.27, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://i.imgur.com/lJ3YMTX.jpeg
Nasi Resek,Salty,Food,Sego Goreng Resek (Pak Man),25000,https://maps.app.goo.gl/LFLtNpBhfHzxX7r98,"Jl. Brigjend. Katamso, KSalty, Kec. Klojen, Kota Malang, Jawa Timur",https://i.imgur.com/yoj5rxV.jpeg
Tahu Tek,Salty,Food,"Tahu Tek Pak Latief, Patimura",14000,https://maps.app.goo.gl/Egy4SY9bP3WvNH8s7,"Jl. Patimura No. 2a, Klojen, Malang",https://i.imgur.com/pj6PnDC.jpeg
Bubur Madura,Salty,Food,"Bu Mad (Bubur Madura) Samping SPBU Tidar, Puncak Yamin",9000,https://maps.app.goo.gl/kM6tiY6ZCKwDbwBr9,"Jl. Puncak Yamin (Samping SPBU), Sukun, Malang",https://i.imgur.com/M7lkbW5.jpeg
Wedang Ronde,Salty,Food,Warung Angsle Ronde,25000,https://maps.app.goo.gl/MSDXgpRa8E5KafN36,"Jl. Merbabu No.6, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur",https://i.imgur.com/8VGgfIz.jpeg
Cokelat Tempe,Sweet,Food,"Dekonco Coklat Tempe Oleh-Oleh Malang, Kedungkandang",9000,https://maps.app.goo.gl/VL3eLXAy3ugkYcfV6,"Jl. Danau Sentani Tengah No. H2-C10, Kedungkandang, Malang",https://i.imgur.com/Mn7muCI.jpeg
Pie Susu Telo Ungu,Sweet,Food,"Bakpao Telo, Karangploso",23000,https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang",https://i.imgur.com/iOtCEMl.jpeg
Mie Telo,Salty,Food,"Bakpao Telo, Karangploso",12000,https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang",https://i.imgur.com/wv2y4Dw.jpeg
Bakpao Telo,Sweet,Food,"Bakpao Telo, Karangploso",50000,https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang",https://i.imgur.com/jRlhnm7.jpeg
Bakso Goreng,Salty,Food,Baso Goreng Sekawan,25000,https://maps.app.goo.gl/b8ao6wzErYsWXKNv7,"Jl. Candi Mendut No.12, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",https://i.imgur.com/xkwM44v.jpeg
Es Talun,Sweet,Beverage,"Depot Es Talun, Klojen",17000,https://maps.app.goo.gl/HZYLgnwLJr9MJVy78,"Jl. Kawi No. 1, Klojen, Malang",https://i.imgur.com/LUjoBy8.jpeg
Es Tawon Kidung Dalem,Sweet,Beverage,Es Tawon Kidul Dalem,8000,https://maps.app.goo.gl/dRhHbyPSvFt6m6te7,"Jl. K H Zainul Arifin, Gang Taqwa No. 1, Klojen, Malang",https://i.imgur.com/SIy7HSP.jpeg
Ronde Titoni,Sweet,Beverage,"Ronde Titoni, Tidar",24000,https://maps.app.goo.gl/mk6nR8HmmBRVF7ix7,"Jl. Esberg No. 3, Karangbesuki, Sukun, Malang",https://imgur.com/F1VSTKC.jpeg
Lodeh Tewel Pedas,Salty,Food,Pedesan Nyai - Gadingkasri,8600,https://maps.app.goo.gl/fn8g9BvnAmnxuXiD7,"Jl. Surabaya No.14, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",https://i.imgur.com/9s2pL5G.jpeg
Es Santan 68,Sweet,Beverage,"Es Santan 68, Lowokwaru",7000,https://maps.app.goo.gl/kEWSEbew33ACpHQb8,"Jl. Puncak Borobudur No. 1, Lowokwaru, Malang",https://i.imgur.com/cBJXoe3.jpeg
Pisang Bolen Bengawan Solo,Sweet,Food,"Pisang Bolen Bengawan Solo, Mawar IV No. 8, Malang",60000,https://maps.app.goo.gl/fmWWm7fQtZJi7d8N9,"Jl. Mawar IV No.8, Lowokwaru, Kota Malang",https://i.imgur.com/lbNzutU.jpeg
Susu Telor Madu Jahe (STMJ),Sweet,Beverage,"STMJ Sukamadu, Kedungkandang",19000,https://maps.app.goo.gl/y1JRp6g5WzaKpib9A,"Jl. Terusan Sulfat No. 128 E, Kedungkandang, Malang",https://i.imgur.com/gOJM1lS.jpeg
Es Pisang Ijo,Sweet,Food,"Es pisang Ijo & Sop Buah, Kecamatan Klojen Kel.Samaan",10000,https://maps.app.goo.gl/jJj7r75aM2qGsdHa6,"Jl. Tapak Siring Gg. 1 No. 11 / 1528
",https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2023/07/24024706/Ini-Cara-Membuat-Es-Pisang-Ijo-Khas-Makassar-yang-Menyegarkan-.jpg
Es Kocok Alpukat,Sweet,Beverage,"Alpukat Kocok & Jus Gendut, Blimbing",16000,https://maps.app.goo.gl/qKTzqGp6zbSKXaZP8,"Jln Raya Titan Asri J7, Blimbing, Kota Malang",https://i0.wp.com/stiebp.ac.id/wp-content/uploads/2019/10/1571289873_Beverage-Kekinian-Murah-Alpukat-Kocok-Lagi-Hits.jpg?fit=1200%2C691&ssl=1
Es Kacang Ijo,Sweet,Beverage,"Es Kacang Ijo Jumbo DTC, Jaksa Agung Suprapto II",16000,https://maps.app.goo.gl/tpeKbBbCChiCN2eu6,"Jl. J.A. Suprapto II No.48 C, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111",https://api.omela.com/storage/content-editor-images/k79rYuzPQfScmMfsrbM7rHbGCmKzzpvrGSdf5d5V.jpg
Wedang Jahe Kapulaga,Sweet,Beverage,"Wedang Jahe Kopulaga, Klojen, Gading Kasri,",17500,https://maps.app.goo.gl/iyY18aYgauRtUC9L8,"Jl. Probolinggo No.3, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",https://cdns.klimg.com/merdeka.com/i/w/news/2017/09/20/888842/content_images/670x335/20170920111004-1-ilustrasi-wedang-kapulaga-001-tantri-setyorini.jpg
Nasi Kuning,Salty,Food,"Nasi Kuning Wilis, Museum Brawijaya",15000,https://maps.app.goo.gl/k3LMsXvPC2jYXddM7,"Jl. Wilis, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",https://img.kurio.network/Gcwi1JA631V4oyGipdFfwrUP2GI=/1200x900/filters:quality(80)/https://kurio-img.kurioapps.com/21/08/12/b50aef91-a93b-40b2-93a0-1a081bf581fa.jpe
Spikoe Hana,Sweet,Food,"Pia Cap Mangkok, Semeru",85000,https://maps.app.goo.gl/JBTMAsEuXpyLbnAW9,"Jalan Semeru Nomor 25, Ruko Semeru, Klojen, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65111",https://images.tokopedia.net/img/cache/700/VqbcmM/2022/7/28/01a15b1f-44e1-4680-a311-16f332821504.jpg
