Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat
Gethuk Pisang,manis,Makanan,Gethuk Pisang Sahira,"Rp30,000",https://maps.app.goo.gl/3znou7bfzzqCA8gV8,"Perum. Puri Indah Blok H2 No. 6A, Oro Oro Ombo, Batu"
Nasi Pecel Rawon,asin,Makanan,,,,
Rujak Soto,asin,Makanan,"Warung Rujak Soto Bu Agus Khas Banyuwangi, Bendulan 8D","Rp17,000",https://maps.app.goo.gl/4XEqZHqpEQ5GWg9e6,"Jl. Bendulan 8D, Sukun, Malang"
Tiwul Goreng,asin,Makanan,Nasi Goreng Tiwul Leluhur Nusantara,"Rp13,000-Rp30,0000",https://maps.app.goo.gl/taFTjcRsTekB1ZMr7,"Perumahan Green Karangduren Residence Gang 10 Blok BP 02, Pakisaji, Malang"
Sayur Asem Malang,asin,Makanan,Ayam Penyet Ria,"Rp39,000",https://maps.app.goo.gl/DTvSf4A27BywLGfk9,"Jl. HOS Cokroaminoto 22-A, Klojen, Malang"
Lemper Malang,asin,Makanan,Toko Kue Bu Yanti,"Rp13,000",https://maps.app.goo.gl/NHoZvo86s2KFtj2P9,"Pasar Singosari Blok D No. 2, Jl. Singosari Raya, Candirenggo"
Pisang Plenet,manis,Makanan,Restoran Pisang Planet,"Rp15,000",https://maps.app.goo.gl/f99KQ9MvGQVFC92X8,"Perumahan Graha Mulia, Jl. Graha Mulia Raya, Lowokwaru, Malang"
Bubur Ayam Malang,asin,Makanan,Bubur Ayam Abah Odil,"Rp1-25,000",https://maps.app.goo.gl/urg5H1QnxgncTDTUA,"Ruko Griya Shanta Eksekutif, Jl. Soekarno Hatta Blok MP No. 48-49, Jatimulyo, Kec. Lowokwaru, Kota Malang"
Ketan Kratok,manis,Makanan,Ketan Karito,"Rp7,000",https://maps.app.goo.gl/U9anK66425NYnofk7,"Jl. Bantaran III B No.27, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141"
Nasi Resek,asin,Makanan,Sego Goreng Resek (Pak Man),"Rp1-Rp25,000",https://maps.app.goo.gl/LFLtNpBhfHzxX7r98,"Jl. Brigjend. Katamso, Kasin, Kec. Klojen, Kota Malang, Jawa Timur"
Tahu Tek,asin,Makanan,"Tahu Tek Pak Latief, Patimura","Rp14,000-Rp36,500",https://maps.app.goo.gl/Egy4SY9bP3WvNH8s7,"Jl. Patimura No. 2a, Klojen, Malang"
Bubur Madura,asin,Makanan,"Bu Mad (Bubur Madura) Samping SPBU Tidar, Puncak Yamin","Rp9,000",https://maps.app.goo.gl/kM6tiY6ZCKwDbwBr9,"Jl. Puncak Yamin (Samping SPBU), Sukun, Malang"
Wedang Ronde,asin,Makanan,Warung Angsle Ronde,"Rp1-Rp25,000",https://maps.app.goo.gl/MSDXgpRa8E5KafN36,"Jl. Merbabu No.6, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur"
cokelat tempe,manis,Makanan,"Dekonco Coklat Tempe Oleh-Oleh Malang, Kedungkandang","Rp9,000",https://maps.app.goo.gl/VL3eLXAy3ugkYcfV6,"Jl. Danau Sentani Tengah No. H2-C10, Kedungkandang, Malang"
Pie Susu Telo Ungu,manis,Makanan,"Bakpao Telo, Karangploso","Rp23,000",https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang"
mie telo,asin,Makanan,"Bakpao Telo, Karangploso","Rp12,000",https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang"
bakpao telo,manis,Makanan,"Bakpao Telo, Karangploso","Rp50,000",https://maps.app.goo.gl/V3BNzw6L5k42tDeA9,"Cafe Sayur, Karangplodo, Girimoyo, Krc. Karang Ploso, Kabupaten Malang"
Bakso Goreng,asin,Makanan,Baso Goreng Sekawan,"Rp1-Rp25,000",https://maps.app.goo.gl/b8ao6wzErYsWXKNv7,"Jl. Candi Mendut No.12, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142"
es talun,manis,Minuman,"Depot Es Talun, Klojen","Rp17,000-Rp27,000",https://maps.app.goo.gl/HZYLgnwLJr9MJVy78,"Jl. Kawi No. 1, Klojen, Malang"
es tawon kidul dalem,manis,Minuman,Es Tawon Kidul Dalem,"Rp8,000",https://maps.app.goo.gl/dRhHbyPSvFt6m6te7,"Jl. K H Zainul Arifin, Gang Taqwa No. 1, Klojen, Malang"
ronde titoni,manis,Minuman,"Ronde Titoni, Tidar","Rp24,000",https://maps.app.goo.gl/mk6nR8HmmBRVF7ix7,"Jl. Esberg No. 3, Karangbesuki, Sukun, Malang"
